ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000796.SZ,20260204,6.22,6.5,6.18,6.47,6.24,0.23,3.6859,1066337.18,683390.179
000796.SZ,20260203,6.17,6.24,6.1,6.24,6.11,0.13,2.1277,735182.98,454518.309
000796.SZ,20260202,6.1,6.29,6.1,6.11,6.41,-0.3,-4.6802,1104272.01,682782.996
000796.SZ,20260130,6.3,6.59,6.3,6.41,5.99,0.42,7.0117,1837535.3,1191866.157
000796.SZ,20260129,5.99,6.06,5.91,5.99,6.02,-0.03,-0.4983,471744.64,283301.504
000796.SZ,20260128,6.1,6.14,6.02,6.02,6.13,-0.11,-1.7945,399498.0,242299.379
000796.SZ,20260127,6.07,6.17,5.95,6.13,6.09,0.04,0.6568,547451.79,331304.664
000796.SZ,20260126,6.26,6.26,6.06,6.09,6.28,-0.19,-3.0255,685465.17,420312.163
000796.SZ,20260123,6.25,6.33,6.22,6.28,6.26,0.02,0.3195,471127.13,295762.701
000796.SZ,20260122,6.22,6.28,6.16,6.26,6.25,0.01,0.16,510859.79,318111.736
000796.SZ,20260121,6.34,6.35,6.23,6.25,6.4,-0.15,-2.3438,616435.82,386521.794
000796.SZ,20260120,6.52,6.57,6.35,6.4,6.57,-0.17,-2.5875,769103.16,494554.55
000796.SZ,20260119,6.35,6.69,6.31,6.57,6.41,0.16,2.4961,973344.14,637367.738
000796.SZ,20260116,6.58,6.58,6.4,6.41,6.68,-0.27,-4.0419,931074.08,602767.58
000796.SZ,20260115,6.64,6.84,6.52,6.68,6.68,0.0,0.0,1438537.53,963126.94
000796.SZ,20260114,6.31,6.72,6.31,6.68,6.41,0.27,4.2122,1577511.65,1026158.01
000796.SZ,20260113,6.59,6.76,6.4,6.41,6.6,-0.19,-2.8788,1378252.99,907288.976
000796.SZ,20260112,6.61,6.73,6.5,6.6,6.61,-0.01,-0.1513,1303116.74,856942.96
000796.SZ,20260109,6.56,6.65,6.54,6.61,6.6,0.01,0.1515,914825.43,603609.867
000796.SZ,20260108,6.62,6.72,6.53,6.6,6.65,-0.05,-0.7519,888073.61,586508.999
000796.SZ,20260107,6.66,6.8,6.62,6.65,6.7,-0.05,-0.7463,974139.26,652134.105
000796.SZ,20260106,6.71,6.82,6.62,6.7,6.7,0.0,0.0,1117213.31,749872.635
000796.SZ,20260105,7.0,7.09,6.66,6.7,7.2,-0.5,-6.9444,1690962.0,1145255.964
000796.SZ,20251231,6.86,7.37,6.73,7.2,6.79,0.41,6.0383,1890867.53,1331624.962
000796.SZ,20251230,7.13,7.2,6.75,6.79,7.26,-0.47,-6.4738,1843498.93,1274363.023
000796.SZ,20251229,7.47,7.75,7.25,7.26,7.56,-0.3,-3.9683,2171228.63,1611972.061
000796.SZ,20251226,7.33,7.79,7.28,7.56,7.35,0.21,2.8571,2832421.27,2140781.339
000796.SZ,20251225,7.7,7.84,7.3,7.35,7.84,-0.49,-6.25,3058874.83,2296617.857
000796.SZ,20251224,7.1,7.84,6.92,7.84,7.13,0.71,9.9579,3846429.16,2896403.952
000796.SZ,20251223,7.44,7.78,7.12,7.13,7.07,0.06,0.8487,3514710.13,2619070.326
000796.SZ,20251222,6.61,7.07,6.61,7.07,6.43,0.64,9.9533,1608692.07,1124940.861
000796.SZ,20251219,6.0,6.68,5.81,6.43,6.09,0.34,5.5829,1732574.93,1070342.697
000796.SZ,20251218,6.32,6.47,6.05,6.09,6.37,-0.28,-4.3956,1066602.97,660828.581
000796.SZ,20251217,6.76,6.78,6.12,6.37,6.75,-0.38,-5.6296,1087882.34,695726.76
000796.SZ,20251216,6.93,7.08,6.66,6.75,6.96,-0.21,-3.0172,912451.82,622235.564
000796.SZ,20251215,6.88,7.06,6.62,6.96,6.9,0.06,0.8696,959455.88,657974.679
000796.SZ,20251212,7.0,7.04,6.8,6.9,7.12,-0.22,-3.0899,1097480.2,759712.834
000796.SZ,20251211,7.31,7.53,7.09,7.12,7.49,-0.37,-4.9399,1609112.33,1164826.867
000796.SZ,20251210,7.01,7.6,6.96,7.49,6.94,0.55,7.9251,2275496.49,1665225.974
000796.SZ,20251209,7.09,7.18,6.81,6.94,7.09,-0.15,-2.1157,941858.0,655734.125
000796.SZ,20251208,6.75,7.24,6.66,7.09,6.74,0.35,5.1929,1201765.06,843698.712
000796.SZ,20251205,6.7,6.78,6.48,6.74,6.68,0.06,0.8982,711182.55,474449.633
000796.SZ,20251204,6.81,6.89,6.63,6.68,6.95,-0.27,-3.8849,835177.0,560158.18
000796.SZ,20251203,7.12,7.29,6.91,6.95,7.2,-0.25,-3.4722,1069134.19,760040.06
000796.SZ,20251202,7.1,7.25,6.85,7.2,7.1,0.1,1.4085,1157584.1,819411.28
000796.SZ,20251201,7.0,7.25,6.92,7.1,6.93,0.17,2.4531,1053030.0,745802.731
000796.SZ,20251128,6.7,6.93,6.56,6.93,6.68,0.25,3.7425,992892.96,676342.34
000796.SZ,20251127,6.82,6.93,6.58,6.68,6.82,-0.14,-2.0528,938476.89,631557.673
000796.SZ,20251126,6.86,7.15,6.8,6.82,6.94,-0.12,-1.7291,1195786.75,835569.755
000796.SZ,20251125,6.64,7.03,6.62,6.94,6.69,0.25,3.7369,1189883.17,807220.179
000796.SZ,20251124,7.13,7.35,6.53,6.69,7.17,-0.48,-6.6946,1428082.77,973285.331
000796.SZ,20251121,7.19,7.52,7.06,7.17,7.39,-0.22,-2.977,1379329.5,1001610.361
000796.SZ,20251120,7.21,7.49,7.06,7.39,7.17,0.22,3.0683,1484065.02,1078573.091
000796.SZ,20251119,7.6,7.76,7.14,7.17,7.89,-0.72,-9.1255,1927892.05,1412911.152
