ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002029.SZ,20260130,11.73,11.96,11.71,11.85,11.77,0.08,0.6797,165100.05,195459.296
002029.SZ,20260129,12.06,12.21,11.74,11.77,12.09,-0.32,-2.6468,248142.92,296487.17
002029.SZ,20260128,12.38,12.44,12.01,12.09,12.43,-0.34,-2.7353,206846.2,252211.081
002029.SZ,20260127,12.31,12.48,12.08,12.43,12.31,0.12,0.9748,213998.91,262831.894
002029.SZ,20260126,12.79,12.86,12.2,12.31,12.88,-0.57,-4.4255,279231.62,348939.504
002029.SZ,20260123,12.9,12.92,12.65,12.88,12.7,0.18,1.4173,227272.51,290758.482
002029.SZ,20260122,12.54,12.75,12.46,12.7,12.46,0.24,1.9262,212860.56,268984.993
002029.SZ,20260121,12.46,12.63,12.27,12.46,12.45,0.01,0.0803,190677.2,237165.254
002029.SZ,20260120,12.7,12.93,12.39,12.45,12.69,-0.24,-1.8913,296334.91,373715.395
002029.SZ,20260119,12.51,12.85,12.36,12.69,12.47,0.22,1.7642,289971.06,365643.052
002029.SZ,20260116,12.9,13.06,12.46,12.47,12.83,-0.36,-2.8059,291430.5,369610.717
002029.SZ,20260115,13.56,13.65,12.68,12.83,13.74,-0.91,-6.623,492814.0,641428.863
002029.SZ,20260114,13.9,14.3,13.51,13.74,14.16,-0.42,-2.9661,656249.72,916319.933
002029.SZ,20260113,14.04,14.85,13.55,14.16,13.85,0.31,2.2383,843862.62,1194818.608
002029.SZ,20260112,14.63,14.63,13.57,13.85,14.04,-0.19,-1.3533,933751.8,1306133.074
002029.SZ,20260109,12.76,14.04,12.44,14.04,12.76,1.28,10.0313,641030.93,841976.261
002029.SZ,20260108,12.5,13.4,12.38,12.76,12.2,0.56,4.5902,667469.05,863283.112
002029.SZ,20260107,11.88,12.4,11.73,12.2,11.77,0.43,3.6534,594924.45,720621.87
002029.SZ,20260106,11.1,12.12,11.05,11.77,11.03,0.74,6.709,767207.7,898489.677
002029.SZ,20260105,11.0,11.36,10.86,11.03,11.03,0.0,0.0,326068.69,361105.312
002029.SZ,20251231,11.44,11.47,11.0,11.03,11.44,-0.41,-3.5839,438977.69,488970.424
002029.SZ,20251230,10.95,11.8,10.61,11.44,11.0,0.44,4.0,649955.37,732233.176
002029.SZ,20251229,11.12,11.24,10.72,11.0,11.1,-0.1,-0.9009,426734.53,467275.053
002029.SZ,20251226,11.4,11.53,11.07,11.1,11.46,-0.36,-3.1414,406689.44,457103.018
002029.SZ,20251225,11.16,11.59,10.87,11.46,11.14,0.32,2.8725,481490.26,542198.732
002029.SZ,20251224,11.02,11.26,11.02,11.14,11.14,0.0,0.0,257721.75,287093.863
002029.SZ,20251223,11.28,11.49,11.08,11.14,11.27,-0.13,-1.1535,355645.08,400895.108
002029.SZ,20251222,11.76,11.8,11.26,11.27,11.78,-0.51,-4.3294,570077.86,655476.467
002029.SZ,20251219,11.4,11.96,11.4,11.78,11.26,0.52,4.6181,656672.98,773473.323
002029.SZ,20251218,10.96,11.49,10.87,11.26,10.98,0.28,2.5501,476646.15,535499.927
002029.SZ,20251217,11.11,11.13,10.56,10.98,11.46,-0.48,-4.1885,571888.58,619623.32
002029.SZ,20251216,11.59,11.87,11.15,11.46,11.4,0.06,0.5263,648453.99,752200.627
002029.SZ,20251215,11.5,11.67,11.14,11.4,11.76,-0.36,-3.0612,558177.56,635623.067
002029.SZ,20251212,11.5,11.97,11.28,11.76,11.4,0.36,3.1579,720832.59,846502.062
002029.SZ,20251211,11.7,11.95,11.34,11.4,12.02,-0.62,-5.1581,779589.38,901700.567
002029.SZ,20251210,11.86,12.38,11.6,12.02,11.63,0.39,3.3534,1017748.72,1218159.25
002029.SZ,20251209,12.12,12.66,11.51,11.63,11.76,-0.13,-1.1054,1436433.88,1711149.229
002029.SZ,20251208,10.93,11.76,10.91,11.76,10.69,1.07,10.0094,760674.42,863133.069
002029.SZ,20251205,10.34,10.87,10.01,10.69,10.49,0.2,1.9066,716422.51,749615.624
002029.SZ,20251204,10.15,11.09,10.15,10.49,10.08,0.41,4.0675,797395.98,845721.673
002029.SZ,20251203,10.74,10.74,10.08,10.08,10.64,-0.56,-5.2632,517377.11,531073.977
002029.SZ,20251202,10.6,10.86,10.24,10.64,10.81,-0.17,-1.5726,658120.27,693161.543
002029.SZ,20251201,10.95,11.25,10.79,10.81,10.95,-0.14,-1.2785,722919.82,795374.409
002029.SZ,20251128,10.89,11.33,10.61,10.95,10.72,0.23,2.1455,763799.1,841368.297
002029.SZ,20251127,10.77,11.25,10.64,10.72,10.76,-0.04,-0.3717,824901.45,897177.51
002029.SZ,20251126,9.78,10.76,9.61,10.76,9.78,0.98,10.0204,494611.13,510821.293
002029.SZ,20251125,9.66,9.99,9.58,9.78,9.39,0.39,4.1534,392426.08,382188.621
002029.SZ,20251124,9.58,9.72,9.21,9.39,9.57,-0.18,-1.8809,396777.88,371871.734
002029.SZ,20251121,10.2,10.42,9.53,9.57,10.38,-0.81,-7.8035,524773.87,516951.802
002029.SZ,20251120,10.6,10.95,9.88,10.38,10.83,-0.45,-4.1551,750606.43,772310.086
002029.SZ,20251119,11.4,11.68,10.52,10.83,11.69,-0.86,-7.3567,999319.35,1110747.595
