ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600398.SH,20260204,6.03,6.12,6.02,6.1,6.05,0.05,0.8264,300114.9,182455.044
600398.SH,20260203,6.04,6.08,5.98,6.05,6.02,0.03,0.4983,338485.36,203939.225
600398.SH,20260202,6.12,6.16,6.01,6.02,6.13,-0.11,-1.7945,518307.0,315193.107
600398.SH,20260130,6.27,6.3,6.12,6.13,6.27,-0.14,-2.2329,384615.34,237918.867
600398.SH,20260129,6.17,6.28,6.15,6.27,6.17,0.1,1.6207,446888.59,278362.234
600398.SH,20260128,6.09,6.19,6.08,6.17,6.08,0.09,1.4803,429417.76,264004.887
600398.SH,20260127,6.13,6.15,6.05,6.08,6.14,-0.06,-0.9772,396771.23,241567.466
600398.SH,20260126,6.29,6.29,6.11,6.14,6.27,-0.13,-2.0734,606586.0,374220.014
600398.SH,20260123,6.34,6.35,6.21,6.27,6.33,-0.06,-0.9479,366388.0,230289.128
600398.SH,20260122,6.31,6.37,6.26,6.33,6.3,0.03,0.4762,311286.31,196804.011
600398.SH,20260121,6.3,6.38,6.28,6.3,6.31,-0.01,-0.1585,256703.01,162133.759
600398.SH,20260120,6.27,6.32,6.25,6.31,6.28,0.03,0.4777,310310.7,195383.841
600398.SH,20260119,6.2,6.31,6.18,6.28,6.22,0.06,0.9646,310161.03,194270.933
600398.SH,20260116,6.15,6.22,6.1,6.22,6.15,0.07,1.1382,348791.32,214940.534
600398.SH,20260115,6.18,6.22,6.14,6.15,6.19,-0.04,-0.6462,289074.08,178296.794
600398.SH,20260114,6.24,6.3,6.14,6.19,6.22,-0.03,-0.4823,448934.12,279818.876
600398.SH,20260113,6.3,6.33,6.21,6.22,6.32,-0.1,-1.5823,407365.05,255463.197
600398.SH,20260112,6.15,6.4,6.12,6.32,6.15,0.17,2.7642,775911.49,485995.177
600398.SH,20260109,6.13,6.16,6.1,6.15,6.13,0.02,0.3263,240952.06,147746.262
600398.SH,20260108,6.1,6.14,6.07,6.13,6.1,0.03,0.4918,181510.0,110854.434
600398.SH,20260107,6.16,6.17,6.1,6.1,6.17,-0.07,-1.1345,263822.0,161654.821
600398.SH,20260106,6.07,6.19,6.05,6.17,6.06,0.11,1.8152,430360.73,263400.164
600398.SH,20260105,6.05,6.08,5.98,6.06,6.05,0.01,0.1653,315400.07,190424.792
600398.SH,20251231,6.14,6.2,6.02,6.05,6.13,-0.08,-1.3051,595517.23,362290.144
600398.SH,20251230,6.19,6.19,6.12,6.13,6.17,-0.04,-0.6483,287819.0,176561.94
600398.SH,20251229,6.12,6.34,6.11,6.17,6.12,0.05,0.817,709117.97,441249.032
600398.SH,20251226,6.16,6.18,6.1,6.12,6.17,-0.05,-0.8104,238469.8,146320.584
600398.SH,20251225,6.11,6.18,6.11,6.17,6.12,0.05,0.817,189841.65,116759.252
600398.SH,20251224,6.12,6.14,6.08,6.12,6.12,0.0,0.0,216953.78,132628.807
