ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20260130,10.94,11.03,10.83,10.83,10.96,-0.13,-1.1861,1091754.97,1191181.198
000001.SZ,20260129,10.84,10.98,10.66,10.96,10.84,0.12,1.107,1852993.83,2001845.208
000001.SZ,20260128,10.94,10.99,10.82,10.84,10.94,-0.1,-0.9141,1438766.03,1570012.85
000001.SZ,20260127,10.96,11.03,10.93,10.94,10.96,-0.02,-0.1825,894091.21,981119.838
000001.SZ,20260126,10.98,11.06,10.92,10.96,10.99,-0.03,-0.273,1106246.65,1214803.431
000001.SZ,20260123,11.07,11.09,10.98,10.99,11.07,-0.08,-0.7227,1109994.29,1224886.436
000001.SZ,20260122,11.07,11.15,11.05,11.07,11.07,0.0,0.0,788634.62,873985.785
000001.SZ,20260121,11.15,11.18,11.06,11.07,11.16,-0.09,-0.8065,900124.91,1001045.288
000001.SZ,20260120,11.12,11.2,11.11,11.16,11.12,0.04,0.3597,772276.09,861694.178
000001.SZ,20260119,11.15,11.21,11.11,11.12,11.19,-0.07,-0.6256,804741.31,896712.443
000001.SZ,20260116,11.34,11.34,11.16,11.19,11.31,-0.12,-1.061,1119472.54,1257713.579
000001.SZ,20260115,11.33,11.37,11.3,11.31,11.36,-0.05,-0.4401,884959.77,1002514.947
000001.SZ,20260114,11.47,11.47,11.35,11.36,11.47,-0.11,-0.959,1274757.14,1454416.591
000001.SZ,20260113,11.48,11.54,11.44,11.47,11.48,-0.01,-0.0871,1061541.22,1219755.569
000001.SZ,20260112,11.45,11.49,11.42,11.48,11.46,0.02,0.1745,855212.98,979700.148
000001.SZ,20260109,11.53,11.53,11.44,11.46,11.51,-0.05,-0.4344,983390.04,1128076.547
000001.SZ,20260108,11.64,11.65,11.49,11.51,11.64,-0.13,-1.1168,1100085.11,1268647.295
000001.SZ,20260107,11.66,11.82,11.62,11.64,11.67,-0.03,-0.2571,966236.24,1131165.699
000001.SZ,20260106,11.5,11.68,11.48,11.67,11.5,0.17,1.4783,1304648.42,1512911.584
000001.SZ,20260105,11.42,11.51,11.41,11.5,11.41,0.09,0.7888,875491.18,1003479.224
000001.SZ,20251231,11.48,11.49,11.4,11.41,11.48,-0.07,-0.6098,590620.37,675457.357
000001.SZ,20251230,11.53,11.56,11.45,11.48,11.56,-0.08,-0.692,582584.33,669409.275
000001.SZ,20251229,11.54,11.62,11.5,11.56,11.54,0.02,0.1733,648295.42,749082.978
000001.SZ,20251226,11.56,11.59,11.53,11.54,11.56,-0.02,-0.173,436339.84,504079.28
000001.SZ,20251225,11.54,11.62,11.52,11.56,11.54,0.02,0.1733,547455.23,633772.625
000001.SZ,20251224,11.55,11.58,11.49,11.54,11.56,-0.02,-0.173,505243.56,582458.735
000001.SZ,20251223,11.52,11.6,11.5,11.56,11.52,0.04,0.3472,666265.74,770081.94
000001.SZ,20251222,11.61,11.61,11.51,11.52,11.62,-0.1,-0.8606,742369.16,857197.057
000001.SZ,20251219,11.63,11.65,11.58,11.62,11.64,-0.02,-0.1718,649886.19,755106.127
000001.SZ,20251218,11.51,11.65,11.48,11.64,11.53,0.11,0.954,790466.54,916247.611
000001.SZ,20251217,11.47,11.58,11.42,11.53,11.48,0.05,0.4355,701495.33,807135.164
000001.SZ,20251216,11.49,11.55,11.44,11.48,11.51,-0.03,-0.2606,647351.36,743389.002
000001.SZ,20251215,11.34,11.54,11.33,11.51,11.35,0.16,1.4097,940832.53,1080642.231
000001.SZ,20251212,11.37,11.43,11.3,11.35,11.37,-0.02,-0.1759,1191894.72,1357465.371
000001.SZ,20251211,11.35,11.39,11.3,11.37,11.33,0.04,0.353,925261.29,1049906.216
000001.SZ,20251210,11.44,11.46,11.29,11.33,11.43,-0.1,-0.8749,1044064.72,1184087.688
000001.SZ,20251209,11.52,11.54,11.43,11.43,11.52,-0.09,-0.7813,733957.45,842732.358
000001.SZ,20251208,11.49,11.6,11.48,11.52,11.53,-0.01,-0.0867,855898.93,988510.035
000001.SZ,20251205,11.49,11.54,11.4,11.53,11.49,0.04,0.3481,890766.09,1022334.912
000001.SZ,20251204,11.55,11.58,11.46,11.49,11.55,-0.06,-0.5195,886089.88,1019178.99
000001.SZ,20251203,11.64,11.7,11.54,11.55,11.64,-0.09,-0.7732,944601.09,1099167.227
000001.SZ,20251202,11.68,11.73,11.59,11.64,11.69,-0.05,-0.4277,768059.93,894720.592
000001.SZ,20251201,11.6,11.7,11.53,11.69,11.61,0.08,0.6891,1037322.71,1205480.323
000001.SZ,20251128,11.67,11.68,11.58,11.61,11.71,-0.1,-0.854,884358.45,1027933.464
000001.SZ,20251127,11.66,11.71,11.58,11.71,11.69,0.02,0.1711,1011847.1,1178308.953
000001.SZ,20251126,11.81,11.85,11.65,11.69,11.8,-0.11,-0.9322,821301.09,962935.43
